sentiment_score,value,company
2.1,Customer,Bristol-Myers Squibb
-0.3,Diversity,Bristol-Myers Squibb
-0.3,Execution,Bristol-Myers Squibb
1.1,Innovation,Bristol-Myers Squibb
-0.5,Integrity,Bristol-Myers Squibb
-0.6,Performance,Bristol-Myers Squibb
-0.6,Respect,Bristol-Myers Squibb
-1.2,Agility,BNY Mellon
0.3,Collaboration,BNY Mellon
0.9,Customer,BNY Mellon
1.4,Diversity,BNY Mellon
0,Execution,BNY Mellon
1.4,Innovation,BNY Mellon
-0.6,Integrity,BNY Mellon
-1.4,Performance,BNY Mellon
-0.8,Respect,BNY Mellon
-1.4,Agility,Boeing
0.7,Collaboration,Boeing
1.1,Customer,Boeing
0.7,Diversity,Boeing
-0.3,Execution,Boeing
1.7,Innovation,Boeing
-0.6,Integrity,Boeing
-0.9,Performance,Boeing
-0.9,Respect,Boeing
-1.4,Agility,Booz Allen Hamilton
0.8,Collaboration,Booz Allen Hamilton
0.4,Customer,Booz Allen Hamilton
1.7,Diversity,Booz Allen Hamilton
0,Execution,Booz Allen Hamilton
0.9,Innovation,Booz Allen Hamilton
-0.2,Integrity,Booz Allen Hamilton
-1.1,Performance,Booz Allen Hamilton
-1.1,Respect,Booz Allen Hamilton
-1.7,Agility,Bose
1.4,Collaboration,Bose
1.3,Customer,Bose
-0.7,Diversity,Bose
-0.3,Execution,Bose
1,Innovation,Bose
0.1,Integrity,Bose
-0.9,Performance,Bose
-0.1,Respect,Bose
-1.3,Agility,Boston Scientific
0.6,Collaboration,Boston Scientific
1.8,Customer,Boston Scientific
0.4,Diversity,Boston Scientific
-0.4,Execution,Boston Scientific
1.3,Innovation,Boston Scientific
-0.8,Integrity,Boston Scientific
-0.6,Performance,Boston Scientific
-1,Respect,Boston Scientific
-1.6,Agility,BP
0.8,Collaboration,BP
1,Customer,BP
1.4,Diversity,BP
-0.9,Execution,BP
1,Innovation,BP
-0.5,Integrity,BP
-1,Performance,BP
-0.1,Respect,BP
-1,Agility,Broadcom
0.1,Collaboration,Broadcom
-0.3,Customer,Broadcom
0.1,Diversity,Broadcom
0,Execution,Broadcom
2.5,Innovation,Broadcom
-0.7,Integrity,Broadcom
0.3,Performance,Broadcom
-1,Respect,Broadcom
-1.7,Agility,Brocade Communications Systems
0.9,Collaboration,Brocade Communications Systems
1.2,Customer,Brocade Communications Systems
-0.9,Diversity,Brocade Communications Systems
-0.3,Execution,Brocade Communications Systems
1,Innovation,Brocade Communications Systems
-1.1,Integrity,Brocade Communications Systems
0.6,Performance,Brocade Communications Systems
0.3,Respect,Brocade Communications Systems
-0.8,Agility,Brookdale Senior Living
1.9,Collaboration,Brookdale Senior Living
0.9,Customer,Brookdale Senior Living
-0.7,Diversity,Brookdale Senior Living
-0.9,Execution,Brookdale Senior Living
1.2,Innovation,Brookdale Senior Living
-0.6,Integrity,Brookdale Senior Living
-0.2,Performance,Brookdale Senior Living
-0.8,Respect,Brookdale Senior Living
-0.3,Agility,Burger King
1.6,Collaboration,Burger King
1.6,Customer,Burger King
